Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2023,United States,Male,1-4 years,18.0,1584.0,73.0,20.0
2023,United States,Male,5-14 years,25.0,2362.0,72.0,12.0
2023,United States,Male,15-24 years,53.0,17059.0,234.0,13.0
2023,United States,Male,25-34 years,179.0,33212.0,690.0,30.0
2023,United States,Male,35-44 years,335.0,48544.0,1399.0,51.0
2023,United States,Male,45-54 years,731.0,73016.0,2915.0,87.0
2023,United States,Male,55-64 years,2190.0,160581.0,8445.0,223.0
2023,United States,Male,65-74 years,5234.0,251457.0,16728.0,385.0
2023,United States,Male,75-84 years,8588.0,286137.0,21495.0,496.0
2023,United States,Male,85 years and over,9207.0,244267.0,18138.0,358.0
2023,United States,Female,Under 1 year,25.0,5844.0,77.0,3.0
2023,United States,Female,1-4 years,13.0,1163.0,80.0,9.0
2023,United States,Female,5-14 years,18.0,1723.0,71.0,17.0
2023,United States,Female,15-24 years,30.0,6211.0,148.0,9.0
2023,United States,Female,25-34 years,113.0,13550.0,469.0,21.0
2023,United States,Female,35-44 years,266.0,24573.0,1043.0,45.0
2023,United States,Female,45-54 years,545.0,42970.0,2275.0,67.0
2023,United States,Female,55-64 years,1777.0,102885.0,6404.0,210.0
2023,United States,Female,65-74 years,4030.0,185404.0,12400.0,350.0
2023,United States,Female,75-84 years,7098.0,268873.0,17294.0,524.0
2023,United States,Female,85 years and over,11184.0,374095.0,20640.0,661.0
2022,California,Male,45-54 years,842.0,11787.0,884.0,24.0
2022,California,Male,55-64 years,1811.0,24227.0,2112.0,58.0
2022,California,Male,65-74 years,2800.0,35166.0,3564.0,64.0
2022,California,Male,75-84 years,3196.0,39446.0,4214.0,77.0
2022,California,Male,85 years and over,3380.0,40647.0,4111.0,69.0
2021,District of Columbia,Female,Under 1 year,0.0,55.0,0.0,0.0
2020,Indiana,Male,55-64 years,561.0,6322.0,619.0,14.0
2020,Indiana,Male,65-74 years,1137.0,9114.0,1172.0,16.0
2020,Indiana,Male,75-84 years,1592.0,10037.0,1499.0,24.0
2020,Indiana,Male,85 years and over,1451.0,8646.0,1190.0,14.0
2021,Kentucky,Male,85 years and over,630.0,4895.0,667.0,0.0
2021,Louisiana,Male,25-34 years,79.0,1216.0,53.0,0.0
2021,Louisiana,Male,35-44 years,183.0,1790.0,115.0,0.0
2021,Louisiana,Male,45-54 years,417.0,2703.0,283.0,0.0
2022,Maryland,Female,65-74 years,393.0,4867.0,442.0,14.0
2022,Maryland,Female,75-84 years,551.0,6828.0,585.0,10.0
2022,Maryland,Female,85 years and over,702.0,9940.0,738.0,28.0
2023,Massachusetts,Female,65-74 years,62.0,3353.0,211.0,11.0
2023,Massachusetts,Female,75-84 years,154.0,5480.0,358.0,13.0
2023,Massachusetts,Female,85 years and over,315.0,9350.0,495.0,30.0
2021,Minnesota,Female,55-64 years,280.0,2351.0,240.0,0.0
2023,North Carolina,Male,65-74 years,203.0,8966.0,613.0,10.0
2023,North Carolina,Male,75-84 years,338.0,9841.0,794.0,13.0
2020,Oregon,Male,Under 1 year,0.0,102.0,0.0,0.0
2022,Oregon,Female,85 years and over,494.0,7746.0,348.0,36.0
2020,Pennsylvania,Female,85 years and over,4857.0,34208.0,2704.0,56.0
2023,Pennsylvania,Male,85 years and over,473.0,11905.0,756.0,28.0
2020,Rhode Island,Male,Under 1 year,0.0,30.0,0.0,0.0
2023,Tennessee,Female,85 years and over,270.0,8095.0,464.0,16.0
2023,Washington,Male,85 years and over,203.0,5498.0,366.0,15.0
2023,Washington,Female,Under 1 year,0.0,121.0,0.0,0.0
2022,West Virginia,Female,75-84 years,324.0,3389.0,422.0,16.0
2022,West Virginia,Female,85 years and over,347.0,3792.0,370.0,12.0
2022,Wisconsin,Female,75-84 years,465.0,7166.0,430.0,23.0
2022,Wisconsin,Female,85 years and over,629.0,11819.0,548.0,33.0
2023,Wisconsin,Male,75-84 years,132.0,5424.0,296.0,12.0
2021,Wyoming,Male,55-64 years,109.0,554.0,88.0,0.0
2021,Wyoming,Male,65-74 years,159.0,805.0,126.0,0.0
2021,Wyoming,Male,75-84 years,136.0,754.0,116.0,0.0
2022,Wyoming,Female,55-64 years,17.0,295.0,23.0,0.0
2023,Puerto Rico,Male,Under 1 year,0.0,54.0,0.0,0.0
2023,Puerto Rico,Female,75-84 years,103.0,3328.0,525.0,11.0
2023,Puerto Rico,Female,85 years and over,189.0,4687.0,723.0,11.0
2021,United States,Female,15-24 years,696.0,10456.0,534.0,5.0
2021,United States,Female,25-34 years,2762.0,24500.0,2048.0,8.0
2021,United States,Female,35-44 years,6773.0,43561.0,5168.0,14.0
2021,United States,Female,45-54 years,14440.0,80493.0,11450.0,26.0
2021,United States,Female,55-64 years,31084.0,185578.0,27150.0,89.0
2021,United States,Female,65-74 years,46514.0,305771.0,42069.0,114.0
2021,United States,Female,75-84 years,48534.0,397666.0,45150.0,143.0
2021,United States,Female,85 years and over,52050.0,567001.0,45422.0,130.0
2022,United States,Male,Under 1 year,141.0,11398.0,202.0,18.0
